runs_left,balls_left,wickets_left,total_runs_x,cur_run_rate,req_run_rate,result
174,115,10,185,13.2,9.078260869565218,0
174,114,10,185,11.0,9.157894736842104,0
174,113,10,185,9.428571428571429,9.238938053097344,0
170,113,10,185,12.857142857142858,9.026548672566372,0
170,112,10,185,11.25,9.107142857142858,0
166,111,10,185,12.666666666666666,8.972972972972974,0
166,110,10,185,11.4,9.054545454545456,0
166,109,10,185,10.363636363636363,9.137614678899082,0
166,108,10,185,9.5,9.22222222222222,0
166,107,10,185,8.76923076923077,9.30841121495327,0
162,106,10,185,9.857142857142858,9.169811320754716,0
162,105,10,185,9.2,9.257142857142858,0
162,104,10,185,8.625,9.346153846153848,0
158,103,10,185,9.529411764705882,9.20388349514563,0
157,102,10,185,9.333333333333334,9.235294117647058,0
156,101,10,185,9.157894736842104,9.267326732673268,0
156,100,10,185,8.7,9.36,0
156,99,10,185,8.285714285714286,9.454545454545457,0
150,98,10,185,9.545454545454543,9.183673469387756,0
144,97,10,185,10.695652173913045,8.907216494845361,0
144,96,10,185,10.25,9.0,0
140,95,10,185,10.8,8.842105263157896,0
140,94,9,185,10.384615384615383,8.936170212765957,0
140,93,9,185,10.0,9.03225806451613,0
139,92,9,185,9.857142857142858,9.065217391304348,0
138,91,9,185,9.724137931034482,9.0989010989011,0
137,90,9,185,9.6,9.133333333333333,0
136,89,9,185,9.483870967741936,9.168539325842696,0
136,88,9,185,9.1875,9.272727272727272,0
136,87,9,185,8.909090909090908,9.379310344827584,0
132,86,9,185,9.352941176470589,9.209302325581396,0
126,85,9,185,10.114285714285714,8.894117647058824,0
124,84,9,185,10.166666666666666,8.857142857142858,0
124,83,9,185,9.891891891891891,8.963855421686747,0
124,82,9,185,9.63157894736842,9.073170731707316,0
124,81,8,185,9.384615384615383,9.185185185185183,0
123,80,8,185,9.3,9.225,0
123,79,7,185,9.073170731707316,9.341772151898734,0
122,78,7,185,9.0,9.384615384615383,0
121,77,7,185,8.930232558139535,9.428571428571429,0
120,76,7,185,8.863636363636363,9.473684210526317,0
120,75,7,185,8.666666666666666,9.6,0
119,74,7,185,8.608695652173912,9.64864864864865,0
119,73,7,185,8.425531914893616,9.780821917808218,0
119,72,7,185,8.25,9.916666666666666,0
118,71,7,185,8.204081632653061,9.971830985915492,0
118,70,7,185,8.04,10.114285714285714,0
112,69,7,185,8.588235294117647,9.73913043478261,0
111,68,7,185,8.538461538461538,9.794117647058824,0
110,67,7,185,8.49056603773585,9.850746268656716,0
109,66,7,185,8.444444444444445,9.909090909090908,0
108,65,7,185,8.4,9.96923076923077,0
107,64,7,185,8.357142857142858,10.03125,0
107,63,7,185,8.210526315789474,10.19047619047619,0
106,62,7,185,8.172413793103448,10.258064516129032,0
104,61,7,185,8.23728813559322,10.229508196721312,0
103,60,7,185,8.2,10.3,0
102,59,7,185,8.163934426229508,10.372881355932204,0
101,58,7,185,8.129032258064516,10.448275862068966,0
100,57,7,185,8.095238095238095,10.526315789473683,0
99,56,7,185,8.0625,10.607142857142858,0
97,55,7,185,8.123076923076923,10.581818181818182,0
93,54,7,185,8.363636363636363,10.333333333333334,0
93,53,7,185,8.238805970149254,10.528301886792454,0
93,53,6,185,8.238805970149254,10.528301886792454,0
92,52,6,185,8.205882352941176,10.615384615384617,0
91,51,6,185,8.173913043478262,10.705882352941176,0
90,50,6,185,8.142857142857142,10.8,0
90,49,6,185,8.028169014084508,11.020408163265309,0
90,48,6,185,7.916666666666667,11.25,0
88,47,6,185,7.972602739726027,11.23404255319149,0
82,46,6,185,8.35135135135135,10.695652173913045,0
81,45,6,185,8.32,10.8,0
80,44,6,185,8.289473684210526,10.909090909090908,0
80,43,6,185,8.181818181818182,11.16279069767442,0
79,42,6,185,8.153846153846153,11.285714285714286,0
79,41,6,185,8.050632911392405,11.560975609756095,0
78,41,6,185,8.126582278481013,11.414634146341465,0
78,40,5,185,8.025,11.7,0
77,39,5,185,8.0,11.846153846153848,0
76,38,5,185,7.975609756097561,12.0,0
75,37,5,185,7.951807228915663,12.16216216216216,0
74,36,5,185,7.928571428571429,12.333333333333334,0
70,35,5,185,8.117647058823529,12.0,0
70,34,5,185,8.023255813953488,12.352941176470589,0
69,33,5,185,8.0,12.545454545454543,0
67,32,5,185,8.045454545454545,12.5625,0
66,31,5,185,8.02247191011236,12.774193548387096,0
65,30,5,185,8.0,13.0,0
61,29,5,185,8.175824175824175,12.620689655172416,0
60,28,5,185,8.152173913043478,12.857142857142858,0
60,27,4,185,8.064516129032258,13.333333333333334,0
60,26,4,185,7.978723404255319,13.846153846153848,0
59,25,4,185,7.957894736842105,14.16,0
58,24,4,185,7.9375,14.5,0
57,23,4,185,7.917525773195877,14.869565217391305,0
56,22,4,185,7.897959183673469,15.272727272727272,0
55,21,4,185,7.878787878787879,15.714285714285714,0
54,20,4,185,7.86,16.2,0
48,19,4,185,8.138613861386139,15.157894736842104,0
48,18,4,185,8.058823529411764,16.0,0
48,17,4,185,7.980582524271845,16.941176470588236,0
47,16,4,185,7.961538461538462,17.625,0
47,15,4,185,7.885714285714286,18.8,0
46,14,4,185,7.867924528301887,19.714285714285715,0
45,13,4,185,7.850467289719626,20.76923076923077,0
44,12,4,185,7.833333333333333,22.0,0
40,11,4,185,7.981651376146789,21.818181818181817,0
39,11,4,185,8.036697247706423,21.272727272727277,0
39,10,3,185,7.963636363636364,23.4,0
38,9,3,185,7.945945945945946,25.33333333333333,0
37,8,3,185,7.928571428571429,27.75,0
37,7,3,185,7.8584070796460175,31.714285714285715,0
31,6,3,185,8.105263157894736,31.0,0
25,5,3,185,8.347826086956522,30.0,0
19,4,3,185,8.586206896551724,28.5,0
13,3,3,185,8.820512820512821,26.0,0
9,2,3,185,8.94915254237288,27.0,0
3,1,3,185,9.176470588235292,18.0,0
0,119,2,185,1110.0,0.0,1
184,119,10,184,0.0,9.277310924369749,0
180,118,10,184,12.0,9.152542372881356,0
180,117,10,184,8.0,9.23076923076923,0
180,116,10,184,6.0,9.310344827586206,0
176,115,10,184,9.6,9.182608695652174,0
176,114,10,184,8.0,9.263157894736842,0
175,113,10,184,7.714285714285714,9.29203539823009,0
175,112,10,184,6.75,9.375,0
171,111,10,184,8.666666666666666,9.243243243243244,0
170,110,10,184,8.4,9.272727272727272,0
170,109,10,184,7.636363636363637,9.357798165137616,0
169,108,10,184,7.5,9.38888888888889,0
168,107,10,184,7.384615384615385,9.42056074766355,0
168,107,10,184,7.384615384615385,9.42056074766355,0
164,106,10,184,8.571428571428571,9.283018867924527,0
164,105,10,184,8.0,9.371428571428572,0
163,104,10,184,7.875,9.403846153846152,0
162,103,10,184,7.764705882352941,9.436893203883496,0
162,102,10,184,7.333333333333333,9.529411764705882,0
162,101,9,184,6.947368421052632,9.623762376237623,0
162,100,9,184,6.6,9.72,0
161,99,9,184,6.571428571428571,9.757575757575758,0
155,98,9,184,7.909090909090909,9.489795918367347,0
155,97,9,184,7.565217391304348,9.58762886597938,0
155,96,9,184,7.25,9.6875,0
154,95,9,184,7.2,9.726315789473684,0
152,94,9,184,7.384615384615385,9.702127659574469,0
148,93,9,184,8.0,9.548387096774194,0
148,92,9,184,7.714285714285714,9.652173913043478,0
144,91,9,184,8.275862068965518,9.494505494505496,0
144,90,9,184,8.0,9.6,0
140,89,9,184,8.516129032258064,9.438202247191011,0
140,88,9,184,8.25,9.545454545454543,0
136,87,9,184,8.727272727272727,9.379310344827584,0
134,86,9,184,8.823529411764707,9.348837209302326,0
132,85,9,184,8.914285714285715,9.31764705882353,0
132,84,9,184,8.666666666666666,9.428571428571429,0
132,83,9,184,8.432432432432432,9.542168674698797,0
131,82,9,184,8.368421052631579,9.585365853658535,0
130,81,9,184,8.307692307692308,9.62962962962963,0
130,80,9,184,8.1,9.75,0
126,79,9,184,8.487804878048781,9.569620253164556,0
120,78,9,184,9.142857142857142,9.23076923076923,0
119,77,9,184,9.069767441860463,9.272727272727272,0
119,76,9,184,8.863636363636363,9.394736842105264,0
118,75,9,184,8.8,9.44,0
117,74,9,184,8.73913043478261,9.486486486486486,0
116,73,9,184,8.680851063829786,9.534246575342468,0
112,72,9,184,9.0,9.333333333333334,0
112,71,8,184,8.816326530612244,9.464788732394366,0
111,70,8,184,8.76,9.514285714285714,0
110,69,8,184,8.705882352941176,9.565217391304348,0
110,68,8,184,8.538461538461538,9.705882352941176,0
109,67,8,184,8.49056603773585,9.761194029850746,0
108,66,8,184,8.444444444444445,9.818181818181818,0
107,65,8,184,8.4,9.876923076923076,0
101,64,8,184,8.892857142857142,9.46875,0
95,63,8,184,9.36842105263158,9.047619047619047,0
94,62,8,184,9.310344827586206,9.096774193548388,0
93,61,8,184,9.254237288135592,9.147540983606556,0
93,60,8,184,9.1,9.3,0
92,59,8,184,9.049180327868852,9.35593220338983,0
92,58,7,184,8.903225806451612,9.517241379310343,0
91,57,7,184,8.857142857142858,9.578947368421051,0
91,56,7,184,8.71875,9.75,0
90,55,7,184,8.676923076923076,9.818181818181818,0
89,54,7,184,8.636363636363637,9.88888888888889,0
89,53,7,184,8.507462686567164,10.075471698113208,0
89,52,7,184,8.382352941176471,10.26923076923077,0
88,51,7,184,8.347826086956522,10.352941176470589,0
87,50,7,184,8.314285714285715,10.44,0
83,49,7,184,8.535211267605634,10.16326530612245,0
82,48,7,184,8.5,10.25,0
81,47,7,184,8.465753424657533,10.340425531914894,0
77,46,7,184,8.675675675675675,10.043478260869565,0
76,45,7,184,8.64,10.133333333333333,0
75,44,7,184,8.605263157894736,10.227272727272728,0
75,43,7,184,8.493506493506494,10.465116279069768,0
75,42,7,184,8.384615384615385,10.714285714285714,0
75,41,7,184,8.278481012658228,10.975609756097562,0
73,40,7,184,8.325,10.95,0
71,39,7,184,8.37037037037037,10.923076923076923,0
70,38,7,184,8.341463414634147,11.052631578947368,0
69,37,7,184,8.313253012048193,11.18918918918919,0
68,36,7,184,8.285714285714286,11.333333333333334,0
67,35,7,184,8.258823529411766,11.485714285714286,0
66,34,7,184,8.232558139534884,11.647058823529411,0
65,33,7,184,8.206896551724139,11.818181818181818,0
61,32,7,184,8.386363636363637,11.4375,0
60,31,7,184,8.359550561797754,11.612903225806452,0
59,30,7,184,8.333333333333334,11.8,0
58,29,7,184,8.307692307692308,12.0,0
57,28,7,184,8.282608695652174,12.214285714285714,0
57,27,7,184,8.193548387096774,12.666666666666666,0
55,26,7,184,8.23404255319149,12.692307692307692,0
55,25,7,184,8.147368421052631,13.2,0
54,24,7,184,8.125,13.5,0
53,23,7,184,8.103092783505154,13.826086956521738,0
52,22,7,184,8.081632653061224,14.181818181818182,0
51,21,7,184,8.06060606060606,14.571428571428571,0
50,20,7,184,8.04,15.0,0
49,19,7,184,8.01980198019802,15.473684210526317,0
43,18,7,184,8.294117647058824,14.333333333333334,0
42,17,7,184,8.271844660194175,14.823529411764708,0
42,16,7,184,8.192307692307692,15.75,0
41,15,7,184,8.17142857142857,16.4,0
40,14,7,184,8.150943396226415,17.142857142857142,0
36,13,7,184,8.299065420560748,16.615384615384617,0
35,12,7,184,8.277777777777779,17.5,0
31,11,7,184,8.422018348623853,16.90909090909091,0
31,11,7,184,8.422018348623853,16.90909090909091,0
30,10,7,184,8.4,18.0,0
24,9,7,184,8.64864864864865,16.0,0
20,8,7,184,8.785714285714286,15.0,0
19,7,7,184,8.761061946902656,16.285714285714285,0
15,6,7,184,8.894736842105264,15.0,0
